Gene,Log2FoldChange,PValue,AdjustedPValue
200615_s_at,0.6149807958701237,0.00020011335782414979,0.0007051770938920611
200628_s_at,0.6076832461342581,0.0003538142470219703,0.0011221084177768655
200641_s_at,0.8801531487608862,1.6950079632047574e-06,1.4587518835163501e-05
200646_s_at,0.5259729293513988,0.0034421171921759476,0.007312890938457597
200664_s_at,0.6816980510859558,8.653806335498363e-05,0.0003574975838113776
200712_s_at,0.7688917317747213,1.320764146253525e-05,7.758872483163284e-05
200727_s_at,0.7303049694627317,2.3871307316165173e-06,1.9253327202372978e-05
200729_s_at,0.5083982271543412,8.798375548455345e-06,5.5813351960810806e-05
200730_s_at,1.1136651186838975,1.018301531829029e-16,1.3283276575893778e-14
200737_at,0.568279924516307,0.0003182471310055266,0.0010299416645026928
200742_s_at,0.5660909726127383,0.0004122333881871909,0.0012668743874800796
200744_s_at,0.538559408683994,6.417097942573247e-05,0.0002808255929395664
200756_x_at,0.56149989067272,5.802932231218204e-07,6.008498842667252e-06
200778_s_at,0.5921770189683953,7.349989443615929e-05,0.00031338693214344134
200796_s_at,0.7754931012744883,1.1079729879462994e-13,7.661428031465708e-12
200806_s_at,0.5255614807635296,0.0005538700309466515,0.001612502471849281
200828_s_at,0.5255817770387274,0.0006640820062519099,0.0018679338691861632
200841_s_at,0.9948911292354818,1.3185418505558039e-05,7.747341101456132e-05
200890_s_at,0.5522152237413884,1.638251489644951e-09,4.057864717966333e-08
200894_s_at,0.6829615738912795,1.1861821913115059e-05,7.110903957226029e-05
200900_s_at,0.8938299884664795,3.885096670149378e-06,2.874086372726652e-05
200922_at,1.1635680276178586,4.9360468422394896e-05,0.00022670601363988013
200935_at,0.5733176510452216,6.089730927866431e-05,0.0002686640707092394
201014_s_at,0.5074088057841339,5.784794336505964e-05,0.00025783852047165946
201020_at,0.6818465980544368,0.00010030856778394214,0.00040459324018929507
201043_s_at,0.8375527943500642,1.4167111741585174e-06,1.2572785559852415e-05
